N°DPE;Etiquette_DPE;Année_construction;N°_voie_(BAN);Code_postal_(BAN);Nom__rue_(BAN);Nom__commune_(Brut);Conso_5_usages_é_finale
2126E0757962K;E;1947;550;26600;Route de Romans;CHANOS CURSON, France;46226,6
2295E2818809L;D;1945;;95600;Rue Jules Ferry;Eaubonne;8188,9
2360E0106372Q;E;2001;43;60000;Avenue Léon Blum;BEAUVAIS;4805
2168E0746015N;G;1947;29;68760;Rue de lâ€™Eglise;GOLDBACH ALTENBACH;44279,3
2291E2478897T;E;1948;5;91000;Square Alfred de Musset;EVRY;16872,7
2391E3929396F;C;1983;;91390;Square de la Paix;MORSANG-SUR-ORGE;5092,3
2101E0748193S;G;1947;712;01470;Route des Ecoles;BRIORD;88414,5
2294E1275560R;C;1961;;94380;;BONNEUIL-SUR-MARNE;10581,8
2383E2851722X;D;1945;1032;83200;Boulevard du Faron;Toulon;3629,9
2159E0750597K;C;2006;12;59229;Allée des Roses;UXEM;12884,1
2294E2692827Y;D;1948;6bis;94470;Boulevard Leon Revillon;BOISSY-SAINT-LEGER;8755,3
2395E3428247K;E;1989;11;95290;Place Hubert Jolivet;L'Isle-Adam;7706,1
2114E0742670U;D;1975;8;14370;Rue de lâ€™Eglise Saint Anne;MOULT-CHICHEBOVILLE;15455,4
2244E0892129K;C;1972;11;44700;Rue Alphonse Beillevaire;Orvault;5609,8
2324E0671329J;D;1945;1;24200;Place du 14 Juillet;SARLAT-LA-CANEDA;6168,3
2191E0731231U;C;2012;2;91160;Allee des Coccinelles;BALLAINVILLIERS;5519,6
2291E3007699H;E;1948;;91700;Rue de l’Yerres;Fleury-Mérogis;14951,4
2386E3807350Y;B;1945;3;86210;La Duvauderie;LA CHAPELLE MOULIERE;7405,2
2125E0731236L;F;1978;6;25380;Rue de Valoreille;BELLEHERBE;34697,9
2292E1613034J;D;1961;;92380;Residence des Chataigniers;GARCHES;9341,5
2318E3216099X;G;1948;12;18410;Rue du Grand Poirier;Argent-sur-Sauldre;8130,1
2193E0731422F;F;1978;2bis;93120;Rue Georges Magnier;LA COURNEUVE;45576,1
2267E0215028Y;D;1961;11;67300;Rue de Provence;SCHILTIGHEIM;13908,9
2375E3784371S;G;1945;45;75006;Rue de Sèvres;Paris;8125
2131E0732796R;C;1948;34;31100;Rue de la Touraine;TOULOUSE;25004,2
2295E0815543T;C;2006;7;95800;Rue de la Destinée;Cergy;4146
2335E3329909W;C;2006;5;35230;Rue des Voyageurs;NOYAL-CHATILLON-SUR-SEICHE;6853,2
2171E0736066Z;D;1983;;71680;;VINZELLES;19615,2
2228E2534790B;D;1983;10;28200;Boulevard Kellermann;CHATEAUDUN;6322,8
2375E0267899U;D;1975;50;75016;Rue Raynouard;PARIS;15038,5
2142E0736357B;C;1998;229;42153;Rue Jean Monnet;RIORGES;27959,7
2276E2707985G;D;1979;2;76200;Rue Alexandre Legros;DIEPPE;9857,5
2395E0105854B;F;1954;1 à 7;95200;Allee Henri Fouques Duparc;Sarcelles;20178,1
2160E0724477V;E;1978;23;60790;Rue de lâ€™Ecole;POUILLY;18760,6
2291E2379925D;C;2013;;91260;Avenue Gabriel Peri;JUVISY-SUR-ORGE;6855,6
2314E3498352Q;D;2012;1;14160;Rue Fontaine d’Arlette;Dives-sur-Mer;6757,7
2113E0724558D;F;1948;2;13080;Quartier Luynes Cite Nouvelle;LUYNES;20455,3
2128E1044902Q;D;1982;3 à 13;28300;Avenue de Bretagne, 29 Rue d'Anjou;Mainvilliers;9365,7
2374E2665611L;D;1970;31;74150;Avenue Franklin Roosevelt;RUMILLY;13560,6
2158E0729523V;D;1948;14;58180;Rue de la Fontaine;MARZY;38700,6
2135E1019995Y;C;1976;;35510;;CESSON-SEVIGNE;4011,6
2316E1703191B;C;1981;;16100;Rue des Hêtres;Chateaubernard;6809,1
2167E0718975M;D;1932;45;67100;Route de la Meinau;STRASBOURG;41283,1
2278E2352160T;D;1948;;78300;Avenue Fernand Lefèbvre;POISSY;7998,7
2391E3532930N;C;1989;29;91200;Rue de l'Epinette;ATHIS-MONS;11694,6
2113E0711571Q;E;1974;;13630;;EYRAGUES;19016,4
2295E1625133V;F;1971;;95230;.;SOISY-SOUS-MONTMORENCY;21939,4
2351E2595638H;C;1948;;51200;Rue d’Anjou;Epernay;246650,8
2108E0714012I;E;1947;7;08370;Rue des Ecoles;SAPOGNE-SUR-MARCHE;44140,8
2295E1622778G;E;1961;;95230;.;SOISY-SOUS-MONTMORENCY;22777,5
2350E0680848M;C;1978;10;50240;Enclos de la Fontaine;SAINT-JAMES;10805,6
2176E0716374U;E;1948;1;76610;Rue Edouard Vaillant;LE HAVRE;17721
2251E1898408S;D;1989;52;51100;rue Cérès;REIMS;13540,4
2391E2393876T;C;1948;7;91120;Allee Louise Bruneau;Palaiseau;7286,6
2108E0717122Y;F;1948;;08360;;TAIZY, France;64487,3
2251E1366374W;F;1974;8;51200;Rue de Picardie;Epernay;30910,2
2377E0382266P;C;1989;24;77500;Avenue de la Résistance;Chelles;17662,8
2112E0703942E;D;1948;1;12000;Rue Louis Blanc;RODEZ, France;25430,9
2244E0125104L;D;1990;1;44270;le Pont;LA MARNE;13953,9
2395E3088040N;C;1975;;95610;.;ERAGNY;1284221
2103E0704344H;G;1947;3;03360;Place du Champ de Foire;AINAY LE CHATEAU;32133,2
2295E1625129R;F;1971;;95230;.;SOISY-SOUS-MONTMORENCY;17782,5
2391E1855092H;D;1948;10;91290;Rue Pierre Bourdan;ARPAJON;9075,2
2159E0707200H;G;1947;4;59880;Rue Emile Zola;ST SAULVE;58393,1
2220E1431470J;C;1992;;20250;22 Avenue Jean Nicoli;CORTE;3477,3
2375E3085938X;D;1945;5;75015;Boulevard Victor;Paris;7434,8
2157E0708815I;F;1947;1;57810;Rue du Pont de Pierre;RECHICOURT LE CHATEAU;39344,6
2229E2115517F;B;1973;;29900;Rue de Lanriec;CONCARNEAU;3636,2
2376E2809853H;C;2006;2;76600;Rue Labédoyère;LE HAVRE;2797,9
2167E0698418V;E;1948;1;67500;Rue Kleber;HAGUENAU, France;16863,3
2195E1034171M;D;1982;;95370;24 Arpents, Général De Gaulle et Paul Cezanne;Montigny-lès-Cormeilles;16435,5
2395E2861293M;C;2011;9;95800;Boulevard des Explorateurs;CERGY;9838
2153E0698630L;D;1948;4;53950;Impasse de la Troussière;LOUVERNÉ;33422,7
2283E0791283F;C;1945;44;83000;Rue Victor Gelu Prolongee;TOULON;16791,1
2360E1066903D;C;1989;150;60390;Rue du Lac;AUNEUIL;10981,9
2181E0699964V;E;1947;1;81400;Route de Villeneuve;BLAYE LES MINES;29972,6
2244E1913923E;D;1980;18;44170;Rue Jean de la Fontaine;Nozay;12147,5
2395E3088050X;C;1975;55;95610;Rue des Ecoles;ERAGNY;4688,4
2123E0701758P;G;1947;;23700;;CHATELARD;36470,1
2159E1022503I;C;2015;;59279;Rue du Progrés;LOON-PLAGE;5981,8
2393E0625532P;F;1930;9;93100;Avenue Paul Signac;Montreuil;8149,3
2142E0703191L;F;1947;12;42120;Passage Rivier;LE COTEAU;35214,2
2294E2536490Z;C;1948;78;94100;Rue du Pont de Créteil;SAINT-MAUR-DES-FOSSES;2543,6
2393E2524107S;C;2013;1;93380;Avenue Emile Zola;Pierrefitte-sur-Seine;2394,5
2154E0690627R;E;1976;18;54990;Rue du Clauselle;XEUILLEY;22132,9
2213E1245598E;D;1961;51;13007;Avenue Pasteur;MARSEILLE;8583,5
2380E1643732Q;C;1948;8;80000;Rue Daire;Amiens;4498,7
2159E0684505K;C;1947;36;59180;Route de Bourbourg;CAPPELLE LA GRANDE;16335,5
2244E1341708X;C;1979;5;44980;Avenue de Bretagne;Sainte-Luce-sur-Loire;8746,3
2373E1785935S;F;1972;267;73400;Rue des Prés;Ugine;12642
2176E0685156C;C;1948;112;76700;Avenue des Côtes Blanches;GONFREVILLE L ORCHER;18200,7
2233E0216204W;D;1985;5;33460;Allée de l'Astrakan;Arsac;15060
2350E2668559X;E;1948;453;50400;Ancienne Route de Villedieu;Granville;37505,1
2172E0686676K;E;1947;;72800;Le Ronceray;COULONGÉ;30585,1
2276E2887884L;D;1976;12;76400;Rue du 8 Mai 1945;FECAMP;12137,8
2322E3503932O;D;1945;1;22100;Rue Haute Voie;DINAN;11149,4
2185E0690169G;E;1975;25;85800;Rue des Terres Franches;SAINT-GILLES-CROIX-DE-VIE;26545,4
2294E2536820R;C;1948;84bis;94100;Rue du Pont de Créteil;SAINT-MAUR-DES-FOSSES;4124,3
2274E3219159S;B;1974;185;74210;Rue de la gare;Faverges;5259,3
2159E0677830R;C;1947;5;59284;Rue du Presbytere;PITGAM;18134,7
2292E2364743G;E;1945;;92430;Square Pasteur;Marnes-la-Coquette;7911,3
2374E1580097X;E;1945;36;74150;Rue du Lavoir;RUMILLY;11519,7
2121E0677883G;D;1948;1;21310;Allee de la Roche Guenard;MIREBEAU SUR BEZE;18412,8
2251E0135946S;E;1945;4;51100;Rue Périn;REIMS;14501,2
2391E1492701E;C;2006;9;91200;Rue des Froides Bouillies;ATHIS-MONS;4424,5
2149E0679002J;D;1948;;49110;;MONTREVAULT;20588,6
2267E0643397R;F;1961;206;67200;Route d’Oberhausbergen;STRASBOURG;6565,9
2314E3590239T;D;1948;;14500;Square Georges Pompidou;VIRE;16957,6
2186E0682924Q;F;1948;16;86170;Rue de Touraine;AVANTON;36719,3
2268E2465309G;C;1945;9;68100;Rue des Corneilles;Mulhouse;4898,5
2376E2049537J;C;1945;;;;LE HAVRE;39501,9
2131E0671483M;D;1948;15;31300;Rue de Barbazan;TOULOUSE;15286,6
2228E1082529W;D;1968;;28110;Rue Kennedy, Dunant, du Vieux Puits et F.Foreau;Lucé;7896,9
2395E2519703K;C;1948;203;95000;Rue des Chenes Bruns;Cergy;2845,2
2102E0675953H;G;1947;10;02500;Route Nationale;MONDREPUIS;76318,4
2291E2493670Y;E;1948;38;91380;Allée de l'Esplanade;CHILLY-MAZARIN;8334,1
2395E1400350J;D;1948;6;95100;Place Saint Just;ARGENTEUIL;13573,1
2126E0665236A;F;1947;24;26700;Rue Chapelle Notre Dame;PIERRELATTE;54059
2295E1624589X;F;1971;;95230;.;SOISY-SOUS-MONTMORENCY;16782,7
2395E3543368D;D;1948;136;95170;Rue Galliéni;Deuil-la-Barre;5398,9
2107E0669108F;C;1983;2;07500;Rue Auguste Renoir;GUILHERAND-GRANGES;20685,4
2292E2710911K;F;1945;3;92400;Rue Jean-baptiste Charcot;Courbevoie;2935,6
2314E3676447L;D;1956;;14100;Rue Marin Bourgeois;Lisieux;13718,1
2167E0669381A;D;1995;68;67700;Rue du Haut-Barr;SAVERNE;22858,9
2294E1614254J;B;2015;7;94260;Rue du Docteur Charcot;FRESNES;3811
2335E1706040J;D;1989;20;35190;Rue du Prieuré;TINTENIAC;7276,2
2139E0660810H;E;1948;12;39200;Rue du Miroir;Saint-Claude;22628,4
2235E1685807D;D;1961;5;35000;Square Yves le Moine;RENNES;9272,5
2383E3305217A;D;1970;348;83000;Avenue Francois Nardi;Toulon;7914,3
2150E0649971V;D;1947;3;50680;La Couture de Bas;MOON-SUR-ELLE;26094
2174E1028999T;C;1957;21 à 31;74960;DE CHEVENNES CRAN GEVRIER;ANNECY;5351,4
2387E2444557W;D;1975;;87200;Pavillon Residence Defaye;Saint-Junien;3162,6
2129E0651618J;D;1948;6;29120;Rue Charles le Bastard;PONT L ABBE;44059,6
2275E1979126E;F;1948;22-30;75018;Rue Boucry;Paris;22355,4
2383E1506663W;C;1998;17;83400;Rue Léon Gautier;HYERES;3482,8
2147E0651831G;F;1947;550;47700;Route de Casteljaloux;BEAUZIAC;43988,7
2128E1041859P;C;1961;;28110;Residence Saint Eloi;Lucé;6384,9
2380E1173175H;D;1948;8;80000;Rue Jean Catelas;Amiens;2933,6
2163E0655028V;G;1947;10;63300;Route de Lesvignes;ESCOUTOUX;49879,4
2291E2248285B;C;1948;;91940;Le Bosquet;LES ULIS;8184,4
2294E3207205S;E;1945;25;94300;Rue de Lagny;VINCENNES;6760,9
2101E0655030N;D;1948;155;01220;Rue de la Vie dâ€™Oree;DIVONNE-LES-BAINS;35162,7
2275E2995364G;E;1945;1;75015;Rue Pierre Mille;PARIS;15005,6
2236E3216957O;D;1974;8;36000;Rue Albert Camus;CHATEAUROUX;10497,8
2133E0643644V;D;1947;68;33680;Rue Léon Dominique;LACANAU;13360,4
2275E0078217H;D;2021;66;75018;Rue Vauvenargues;PARIS;10326,5
2375E3532270N;E;1948;59;75015;Rue Emeriau;PARIS;20067,8
2149E0647514H;C;1989;3;49280;Rue des Merisiers;ST LEGER SOUS CHOLET, France;29048,6
2244E0627487W;C;2014;7bis;44400;Rue Charles Rivière;Rezé;4195,6
2338E2963946M;C;2014;5;38080;Rue de l’Embarcadere;L ISLE D ABEAU;5935,7
2183E0636709A;C;2001;11;83170;Avenue Jean Moulin;ROUGIERS;7347,5
2295E1449108Q;C;1982;;95100;Rue Jean Charcot;Argenteuil;6669,8
2392E0913558M;C;1970;13;92000;rue de l'Union;Nanterre;4322,9
2145E0638666V;D;1947;71;45300;Faubourg Gatinais;PITHIVIERS;20734,4
2244E1706327S;D;1964;1;44700;allée de la penfeld;Orvault;9543,9
2391E3527632T;C;2013;6;91260;Rue Monttessuy;JUVISY-SUR-ORGE;3399,2
2166E0641526Q;D;1978;26;66100;Rue Jules Emile Pean;Perpignan;18116,6
2295E1652733J;C;1985;;95150;.;TAVERNY;9365,5
2322E3444822C;C;1975;;22100;Avenue de Bretagne;DINAN;10240,3
2174E0642175X;D;1989;1430;74540;Route d’Annecy;VIUZ-LA-CHIÉSAZ;24576
2230E3135698Z;E;1975;;30300;1200_G RESIDENCES LAVANDES ROMARINS LES ROMARINS;Beaucaire;19235,2
2393E1379411Y;D;1948;3;93140;Rue Rabelais;BONDY;19440,2
2162E0642263V;D;1948;48;62870;Rue du Val dâ€™Authie;MAINTENAY, France;26714,3
2235E3110651V;B;1983;2;35200;Place du Banat;Rennes;7191
2362E3571798I;C;1945;;62150;Rue de la Gare;Houdain;5821,6
2187E0633641E;C;1989;17;87220;Impasse des Pruniers;BOISSEUIL;21830,6
2251E1266551N;C;1980;;51100;Henri Barbusse et georges Boussinesq;Reims;17291,6
2330E1333939P;D;1948;11;30800;Avenue de Camargue;Saint-Gilles;10554,5
2179E0634907O;F;1947;9;79800;Rue du Centre;PAMPROUX;45979
2244E0203102J;C;1977;16;44300;Allée Roland de Lassus;Nantes;6405,6
2395E3123911E;D;1960;;95290;Villa Poupart;L'ISLE-ADAM;9460,2
2122E0623719B;F;1975;14;22200;Rue Parc Sech;GRACES;24189,4
2274E0404986H;C;2004;8;74150;Allée des Clochettes;Rumilly;10101,2
2233E3208365Z;C;1948;;33130;Rue Ferdinand Buisson;Bègles;4495,4
2130E0624679H;D;2001;335;30300;Chemin de la Fontaine du Roy;BEAUCAIRE;13744,9
2295E1275839L;C;1961;;95480;.;PIERRELAYE;9727,3
2330E1244083P;D;1978;;30127;Coste Canet;BELLEGARDE;6671,6
2121E0624785A;D;1989;24;21130;Rue des Mésanges;ST SEINE EN BACHE;19865,2
2293E2250144Q;D;1989;38;93370;Avenue Descartes;Montfermeil;15361,7
2377E0388643W;D;1991;5;77270;Rue du Maréchal Foch;VILLEPARISIS;4315,3
2159E0617948N;F;1947;46;59242;Rue Delmer;TEMPLEUVE;25175,8
2291E2249530Y;C;1948;;91940;Le Bosquet;LES ULIS;4002,1
2321E1717757M;B;1948;2;21000;Allee de la Beauce;Dijon;4999,3
2185E0611674F;E;1947;27;85120;Rue de la Gare;ANTIGNY;37714,5
2291E1594490C;C;1992;12 au 16;91100;Rue de la Papeterie;Corbeil-Essonnes;5971,1
2360E3381799P;C;1971;5;60100;Rue de Verdun;Creil;4608,3
2144E0613326E;G;1947;9bis;44220;Rue de Pologne;COUËRON;20082,5
2244E0646819K;D;2007;2;44800;Rue Victor Schoelcher;ST HERBLAIN;4073,3
2394E3144819H;C;1948;3;94460;Rue de la Faisanderie;Valenton;5816,8
2189E0602872V;E;1948;;89700;;BERU;34647,7
2277E1008164O;C;1987;1;77420;ALLEE DES MARRONNIERS;Champs-sur-Marne;7003,6
2335E1976403Y;C;1945;53;35260;Rue du Port;CANCALE;11360,5
2187E0606157C;E;1947;1;87130;Allee de Mazermaud;LINARDS;23656,2
2250E0387236R;D;2003;61;50100;Rue de l'Abbaye (Cherbourg-Octeville);old Cherbourg-Octeville;2894,2
2328E3207683P;E;1975;10;28190;Rue de la Rivière Neuve;Landelles;12985,5
2158E0606447D;D;1947;9;58200;Chemin de la Genetiere;ST LOUP, France;19897,2
2277E1009783V;C;1987;1;77420;ALLEE DES MARRONNIERS;Champs-sur-Marne;5216,7
2335E2942240N;C;2006;1;35230;Rue Pierre Gripari;Noyal-Châtillon-sur-Seiche;6727,3
2117E0596106V;C;1989;22;17137;Rue Patrice Walton;MARSILLY;17124,5
2211E1372503B;C;1992;;11000;RUE JOSQUIN DES PRES;CARCASSONNE;5761,5
2303E0815895U;C;1965;10;03100;Rue du Clair Matin;MONTLUCON;6046,2
2154E0598368G;D;1947;1;54260;Rue de la Mairie;VIVIERS SUR CHIERS;20458,7
2252E0983898H;C;1985;223;52200;Avenue de la Résistance;old Langres;6677,8
2351E1528229C;C;2001;5;51100;rue Maurice Pelthier;Reims;5827,1
2159E0598653K;E;1948;176;59123;Rue Charles Wallyn;BRAY-DUNES;31222,3
2250E0056628Z;E;1976;10;50700;Rue des Oiseaux;Valognes;16935,8
2378E1686694Y;D;1948;12;78300;Avenue des Ursulines;POISSY;19223,6
2189E0598675K;D;1975;21;89210;Rue du Bois Guèrin;BRIENON SUR ARMANCON;23076,8
2214E3017667S;D;1956;12 /;14100;10 Rue Victorine Magne;Lisieux;8737
2262E3219686N;D;1975;;62700;Rue de la Durance;BRUAY LA BUISSIERE;12897
2171E0600747K;E;1975;;71110;;LIGNY-EN-BRIONNAIS;36193,6
2291E2248692S;C;1948;;91940;Le Bosquet;LES ULIS;8184,4
2314E3749169L;C;2006;6;14370;Rue Résidence François Mitterrand;Bellengreville;8558,7
2162E0589716U;F;1947;12;62760;Rue Ruellette;SARTON;32098,8
2280E0138464R;C;1968;;80000;2 rue Jean Bart;Amiens;3696,2
2393E2312640J;C;2006;14;93160;Allee des Petits Jardins;Noisy-le-Grand;5488
2142E0592403J;C;1989;13;42340;Allee des Champs;VEAUCHE;15522,3
2263E1438354U;C;1961;117;63000;rue Fontgiève;CLERMONT FERRAND;6520,1
2335E0707278L;D;1972;2;35000;Rue de la Paix;RENNES;10214,5
2125E0592587U;C;1947;16;25640;Rue dâ€™Archamps;Pouligney-Lusans, France;20082,4
2214E1987706V;B;1968;;14100;Jean François Millet;Lisieux;7184,5
2314E1301100Y;E;1976;100;14100;Rue de l’Amiral de Tourville;Lisieux;9808,1
2174E0583921J;E;1947;2316;74270;Route de Geneve;CLERMONT;72566,2
2276E2903759A;C;1966;35;76330;Square de Street;PORT JEROME SUR SEINE;10303,7
2376E2198791X;C;2009;48;76600;Rue de Prony;LE HAVRE;5396,6
2188E0575549X;E;1948;18;88700;Rue du Docteur Pierre Mathieu;RAMBERVILLERS;18081,9
2259E1555880W;D;1970;75;59540;Rue Négrier;Caudry;9586,8
2393E3477395Q;D;1948;;93130;Avenue du 18 Avril 1944;NOISY LE SEC;10141,5
2156E0576353P;E;1948;54;56370;Route de Kerbiboul;SARZEAU;31444,6
2291E2664995J;C;1948;2;91220;Rue du Commandant Mouchotte;BRETIGNY-SUR-ORGE;9072,9
2351E3734356D;E;1948;1;51100;rue du Lieutenant Herduin;REIMS;4365,8
2140E0576911L;D;1989;80;40270;Chemin Balette;GRENADE SUR L ADOUR;14425,5
2244E2948148B;C;2014;2;44110;Rue de la Métallurgie;CHATEAUBRIANT;6196,4
2337E3746019E;E;1945;73;37000;Rue Colbert;TOURS;8592,4
2187E0580148T;D;1947;17;87130;Allee de Mazermaud;LINARDS;21183,5
2291E2973923F;G;1948;1;91800;Saint Medard;Brunoy;38225,1
2322E2169980S;E;1982;5;22300;Rue Xavier Grall;LANNION;38239,6
2127E0572952R;E;1947;17;27450;Rue du Lieu Coupeur;SAINT-CHRISTOPHE-SUR-CONDÉ;19705,4
2254E0799843I;E;1945;53;54100;Boulevard Lobau;Nancy;111281,9
2315E1707572N;F;1909;;15250;;AYRENS;71039,8
2117E0562590T;C;2001;311;17700;Rue des Forges;Saint-Georges-du-Bois, France;28543
2291E1162620S;E;1970;74;91360;Avenue de la Mare Tambour;VILLEMOISSON SUR ORGE;20402,8
2311E1328152H;B;1948;2;11000;Rue de Magenta;CARCASSONNE;4547,6
2193E0562621W;C;1989;61;93190;Avenue de Sully;LIVRY-GARGAN;20909,9
2291E1188144K;C;1961;;91350;;GRIGNY;6769,6
2324E2242050S;F;1945;;24220;Chemin De La Faval;COUX ET BIGAROQUE MOUZENS (COUX ET BIGAROQUE);54271,9
2169E0566973I;E;1947;8;69380;Chemin du Corgnolet;LISSIEU;31717,5
2244E1171260F;E;1981;266;44370;Rue des Olivettes;LOIREAUXENCE (LA ROUXIERE);15542,6
2376E3310443T;C;1966;50;76610;Avenue du Mont Le Comte;LE HAVRE;4073,7
2128E0557584Q;C;1948;20;28500;Rue des Gignots;MARVILLE MOUTIERS BRULE;17033,7
2214E2968305E;D;2009;38;14160;Rue des Senteurs;Dives-sur-Mer;11809,7
2394E0276585P;E;1963;82;94550;Paul Hochart;Chevilly-Larue;21601
2122E0559005B;C;1948;1;22220;Rue Laënnec;TREGUIER;16606,3
2262E1775411M;D;1976;13;62290;Rue de Coutances;NOEUX-LES-MINES;9084,9
2280E3220232F;C;1970;1;80080;Rue Claude Debussy;Amiens;6619,9
2130E0560354G;C;1983;9;30340;Chemin des Levades;ROUSSON;13312,5
2277E2908324Q;C;2005;12;77700;Rue des Flammes;BAILLY-ROMAINVILLIERS;12412,2
2376E1815051R;C;1948;10;76800;Rue du Bearn;ST ETIENNE DU ROUVRAY;6995,2
2145E0544010F;F;1947;13;45120;Lieu Dit Chanteloup;GIROLLES;49231,4
2245E3196893F;E;1975;3;45400;DES COSMONAUTES;Fleury-les-Aubrais;10015,1
2302E3809164M;C;1975;1;02000;Residence Albert Jamin;LAON;5358
2122E0544639N;F;1947;;22480;;ST NICOLAS DU PELEM;51358,7
2295E1956079N;F;1945;30;95300;de Verdun;Pontoise;19412,6
2329E2758881A;D;1973;8bis;29610;Rue Jean Moulin;PLOUIGNEAU;12490,1
2163E0435397M;C;1989;;63130;3 RUE DE MAUPA;ROYAT;19377,8
2278E0504334N;C;1985;;78000;;VERSAILLES;6273,1
2392E0915514S;C;1970;19;92000;rue de l'Union;Nanterre;6591,2
2179E0426728R;D;1900;;79160;5 Chemin du Cheval Blanc;VILLIERS-EN-PLAINE;25875,9
2244E3033766B;C;2013;17;44500;Avenue de Tréméac;La Baule-Escoublac;4115,4
2358E0828485D;G;1945;;58250;rue du Charnay;LANTY;14434,8
2163E0294233C;E;1948;;63520;LIEU DIT PUISSOCHET;DOMAIZE;40823,4
2280E1595856F;C;1970;;80300;RUE VICTOR LINE;ALBERT;7904,6
2395E1400603C;D;1948;11;95100;Place Saint Just;ARGENTEUIL;4162,4
2163E0253148X;E;1949;;63800;8 IMPASSE RAMPAUD;PERIGNAT SUR ALLIER;26590,2
2282E1198176X;C;2002;73;82400;Avenue de Bordeaux;VALENCE D AGEN;3210,8
2322E0786393V;E;1945;;22340;Saint-Quiguénec;Mael carhaix;17685,1
2169E0161387W;C;2016;;69007;15 Rue des Balançoires;LYON;13122,1
2213E2215708C;C;2006;4;13220;Rue les Roselieres;CHATEAUNEUF-LES-MARTIGUES;3344,5
2362E1130845N;E;1976;;62410;RESIDENCE DU CHATEAU;WINGLES;15703,8
2135E0845825C;D;1947;4;35320;La Diotais;LALLEU;30479,1
2233E2593846Q;C;2012;4;33480;Rue du Marin;LISTRAC MEDOC;6536,6
2376E3348353V;C;1967;;76400;;FECAMP;8311,5
2119E0677073A;C;2006;;19240;;ALLASSAC;15663,7
2293E0598311P;C;2002;7;93260;Rue Francine Fromond;LES LILAS;5281,6
2362E1252277Z;C;1984;;62160;RESIDENCE DES CORNAILLES;GRENAY;6669,5
2157E0815180H;E;1948;50a;57200;Rue Principale;BLIESBRUCK;42178
2256E0938179A;C;1990;23;56000;Place Maurice Marchais;VANNES;5316,8
2374E0794448Q;E;1967;37;74150;Rue de couty;Sales;13521,9
2138E0579254M;D;1947;12;38500;Chemin du Regardou En Vouise;VOIRON;22621,5
2285E2908603R;E;1945;3;85260;Rue du four;LES BROUZILS;8646,3
2391E3314774X;C;2013;;91410;Avenue des Acacias;DOURDAN;4478,6
2172E0837387Z;C;1957;;72100;;LE MANS;3882,6
2224E1852512L;D;1945;18;24000;Rue Denis Papin;PERIGUEUX;1509,4
2369E1605753M;D;1995;110;69220;Chemin de la Baisse;Charentay;25390
2129E0743639Q;E;1947;9;29340;Rue Neuve;RIEC SUR BELON;53574,4
2267E0043016C;D;1945;31;67310;Rue de l'Eau;WESTHOFFEN;5762,3
2355E0952886R;E;1948;49;55100;Avenue Miribel;Verdun;20609
2159E0686334T;E;1947;;59400;;CAMBRAI;35865,7
2280E0887428Z;F;1945;76;80000;Rue des Jacobins;Amiens;2763,8
2380E1388152Q;D;1975;12;80136;Rue Georges Brassens;RIVERY;17648,1
2159E0677577Y;D;1947;117;59540;Rue de la Paix;CAUDRY;18845,3
2213E2007364W;D;1978;;13140;Rue de la Rose des Vents;MIRAMAS;6469,5
2384E0779094M;B;1948;;84000;Rue des Peintres Parrocel;AVIGNON;5030
2175E0756148N;F;1947;4;75015;Rue Rosa Bonheur;PARIS;33849,7
2213E2025445H;D;1983;;13270;Rue Max Bacharetti;FOS-SUR-MER;5609,7
2395E3568135S;B;2022;14;95420;Rue du Docteur Fourniols;Magny-en-Vexin;1922,9
2144E0614477L;C;2006;1;44690;Impasse des Roseaux;LA HAIE FOUASSIERE;11261,1
2244E2019770F;D;1983;2;44380;Avenue de Damas;PORNICHET;2326
2391E1754284B;B;2022;;91070;Rue du Grand Noyer;BONDOUFLE;4477,9
2179E0726589U;F;1947;5;79300;La Chichardiere Clazay;BRESSUIRE;32675,1
2292E3099060F;F;1945;4;92130;GEORGES MARIE;Issy-les-Moulineaux;9370,9
2317E3046225G;E;1974;;17430;Rue des Pinsons;Tonnay-Charente;9587,7
2104E0810989B;C;1947;;04110;;REILLANNE;13405,6
2244E1311777S;F;1945;42;44450;Rue des Alouettes;ST JULIEN DE CONCELLES;8809,9
2393E0890720D;C;1983;;93160;Mail Federico Garcia Lorca;NOISY LE GRAND;6580,8
2156E0675049P;C;1970;;56130;;Nivillac;15183
2283E0121242K;F;1945;22;83170;Rue Jules Ferry;Brignoles;9850,4
2359E1628102R;C;1948;105;59500;Rue de l’Arbre Sec;Douai;5140,3
2189E0618522T;G;1947;10;89240;Rue des Terres-Forts;PARLY;39902,1
2283E1948646E;D;2006;;83470;Impasse Lou Capeu;SAINT-MAXIMIN-LA-SAINTE-BAUME;5947,9
2335E3472016N;D;1978;6;35600;Rue du Docteur François Lagrée;REDON;7958,9
2187E0622393O;G;1947;1;87800;Pont de Lafarge;SAINT-HILAIRE-LES-PLACES;67554,7
2251E1505817B;E;1945;2;51100;Rue Saint Thierry;REIMS;3440,7
2391E2448788T;C;2006;53;91600;Avenue Jean Marsaudon;SAVIGNY-SUR-ORGE;10373,4
2160E0761754O;C;1947;21;60480;Grande Rue et Place Verte;FRANCASTEL;32447,7
2284E0784527K;C;2002;102;84000;Route de Lyon;Avignon;5470
2357E1039419Y;B;1945;18;57000;boulevard paixhans;Metz;7226,8
2151E0601144X;F;1948;26;51260;Rue Pierre Brossolette;ST JUST SAUVAGE;24676,6
